《中国制造2025》 	瞄准新一代信息技术、高端装备、新材料、生物医药等战略重点，引导社会各类资源集聚，推动优势和战略产业快速发展。该文件提出加快制造业绿色改造升级，将功能性高分子材料列为发展重点 	国务院 	2015 年 					
《石化和化学工业发展规划（2016-2020 年）》 	明确了八项主要任务，即实施创新驱动战略、促进传统行业转型升级、发展化工新材料、促进两化深度融合、强化危化品安全管理、规范化工园区建设、推进重大项目建设、扩大国际合作，并以十项重大工程（重点领域）作为规划实施的抓手 	工业和信息化部 	2016 年 					
								
通用化学品 代表产品有： 化肥、硫酸、烧碱和通用塑料 	拟通用化学品 代表产品有： 炭黑、火药和合成纤维 							
								
精细化学品 代表产品有： 染料、颜料、医药和农药的原药 	专用化学品 代表产品有： 医药制剂、农药制剂、感光材料 							
								
竞争领域 	公司名称 	公司简介 						
建筑化学品 	奥克股份 	奥克股份（股票代码：300082），其主要产品为聚醚单体产品（聚乙二醇单甲醚、甲基烯基聚氧乙烯、烯丙基聚氧乙烯醚）、晶硅切割液系列产品和聚乙二醇系列产品。 						
建筑化学品 	皇马科技 	皇马科技成立于 2003 年，位于浙江省上虞市；是目前国内生产规模较大、品种较全的表面活性剂生产企业，形成了聚羧酸减水剂用高分子聚醚板块、有机硅新材料改性用高性能聚醚板块、印染助剂用表面活性剂板块、农化助剂板块等 10 大板块 1,200 多个产品。 						
建筑化学品 	科隆精化 	科隆精化（股票代码：300405），经过多年发展已经形成了以聚羧酸系减水剂为主导，太阳能切削液、苯醚系列产品、纺织印染助剂、SCR 新型脱硝催化剂、聚酯弹性体、多功能整理剂、涂料助剂、建材助剂产品等为补充的完善的产品线体系。 						
建筑化学品 	联泓集团有限公司 	联泓集团有限公司成立于 2012 年 11 月，以精细化工和化工新材料为主要发展方向，致力于打造行业内有规模、有影响力、有综合竞争力的化工产业集群。主要产品为非离子表面活性剂、聚醚以及封端产品等。 						
建筑化学品 	红宝丽 	红宝丽为 A 股上市公司，主要生产组合聚醚、单体聚醚、异丙醇胺、硬泡聚氨酯外墙保温板材。 						
建筑化学品 	嘉兴金燕化工有限公司 	嘉兴金燕化工有限公司是一家中外合资企业，位于浙江省嘉兴市，专业从事醇胺系列产品的生产和销售，主要有乙醇胺、甲基乙醇胺和异丙醇胺三大系列产品。 						
建筑化学品 	湖北仙粼化工有限公司 	湖北仙粼化工有限公司位于湖北省仙桃市，是一家从事化工原料、化学肥料和精细化学品等综合研发、生产和销售的高新技术企业，主要产品为硫酸、乙醇胺、乙烯						
								
亚胺和甲乙酮肟等系列产品。 								
乐天化学（嘉兴）有限公司位于嘉兴的外商独资化工企业，其主要有一乙醇胺、二乙醇胺、三乙醇胺等产品。 								
2016 年 6 月，中国石油化工股份有限公司上海高桥分公司进行重组，设立了中国石化上海高桥石油化工有限公司，并于当月正式全面投入运营，主要产品包括聚氨酯原料产品等精细化工品。 								
山东蓝星东大化工有限责任公司成立于 1958 年，是国家大型企业，隶属于中国化工集团下属的中国蓝星（集团）股份有限公司新材料板块，其主要产品包括特种品种聚醚，粘合剂用聚醚，防水材料用聚醚，皮革涂饰剂用聚醚等多种聚醚产品。 								
句容宁武新材料股份有限公司成立于 2001 年，是一家以生产聚氨酯聚醚为主的高新技术企业，拥有甘油聚醚系列、高活性聚醚系列、甲苯二胺聚醚系列、山梨醇聚醚系列、乙二胺聚醚系列等 11 个系列的产品。 								
隆华新材（股票代码：839122）为新三板挂牌企业，主要生产聚醚多元醇系列产品、聚合物多元醇系列产品，包括普通软泡聚醚多元醇、高活性软泡聚醚多元醇、CASE 用聚醚多元醇、通聚合物多元醇及高活性聚合物多元醇等。 								
壳牌化学作为世界领先的能源和化工公司，主要提供天然气、液化天然气和高质量的油品，在精细化工方面，主要生产聚氨酯原料产品。 								
陶氏化学是一家全球知名的化学公司，为各消费市场提供各类产品，包括涂料和基础设施、基础塑料、基础化学品、聚氨酯原料产品、个人护理产品，涉及建筑、家居和汽车等众多领域。 								
皇马科技是目前国内生产规模较大、品种较全的表面活性剂生产企业，形成了聚羧酸减水剂用高分子聚醚板块、有机硅新材料改性用高新更聚醚板块、印染助剂用表面活性剂板块、农化助剂板块等 10 大板块 1,200 多个产品。 								
江苏钟山化工有限公司前身是中国石化集团金陵石化公司化工二厂，始建于 1954 年，以生产多种表面活性剂、聚醚多元醇为主的大型精细化工企业，也是我国大型农用乳化剂生产企业之一。主要生产农用助剂、聚醚、纺织助剂、特种化学品等系列 1,000 多种产品。 								
赢创工业集团作为一家特种化工企业，是全球第一家使用生物技术批量生产高品质表面活性剂的企业。开发并推广槐糖酯、鼠李糖酯等生物表面活性剂。赢创主要提供基于硅氧烷及有机表面活性剂的农业化学品。 								
科莱恩是全球领先的特种化学品公司，提供多种类表面活性剂，主要为阴离子和阳离子表面活性剂及漂白激活剂。主要生产个人护理、农药、涂料、亮漆等产品。 								
								
乐天化学（嘉兴）有限公司 								
中国石化上海高桥石油化工有限公司 								
山东蓝星东大化工有限责任公司 								
句容宁武新材料股份有限公司 								
隆华新材 								
壳牌化学 								
陶氏化学 								
皇马科技 								
江苏钟山化工有限公司 								
赢创 								
科莱恩 								
								
聚氨酯原料产品 								
表面活性剂 								
								
索尔维 	索尔维是全球首屈一指的温和性表面活性剂生产商，在两性表面活性剂和磷酸酯阴离子表面活性剂领域占据领先地位，供应完整系列的表面活性剂化工产品，如：日化、工业清洗、农化等产品。 							
								
专利类型 	阶段 	专利名称 	专利号 					
发明专利 	获批 	1、一种聚醚多元醇的制备方法 	ZL 2005 1 0046581.3 					
发明专利 	获批 	2、一种生产三乙醇胺产品的方法 	ZL 2004 1 0020463.0 					
发明专利 	获批 	2、一种生产三乙醇胺产品的方法 	ZL 2004 1 0020463.0 					
发明专利 	获批 	3、一种链烷醇胺的生产工艺 	ZL 2009 1 0010144.4 					
发明专利 	获批 	4、一种制备链烷醇胺的方法 	ZL 2009 1 0010143.X 					
发明专利 	获批 	5、一种聚合物多元醇分散稳定剂的制备方法 	ZL 2010 1 0600732.6 					
发明专利 	获批 	5、一种聚合物多元醇分散稳定剂的制备方法 	ZL 2010 1 0600732.6 					
发明专利 	获批 	6、一种低温喷涂组合料及其制备方法和应用 	ZL 2010 1 0600718.6 					
发明专利 	获批 	7、一种制备聚醚多元醇的方法 	ZL 2011 1 0020190.X 					
发明专利 	获批 	8、一种合成高效聚羧酸减水剂用单体聚醚的制备方法 	ZL 2013 1 0043767.8 					
发明专利 	获批 	8、一种合成高效聚羧酸减水剂用单体聚醚的制备方法 	ZL 2013 1 0043767.8 					
实用新型 	获批 	9、一种雾化喷嘴 	ZL 2014 2 0317230.6 					
								
项目 	循环雾化法 	联产法（三乙醇胺） 	普通间歇法 （三异丙醇胺） 					
产品专一性 	专一合成三乙醇胺、三异丙醇胺产品。 	联产生成一乙醇胺、二乙醇胺、三乙醇胺等的混合物，再经后处理精	采用普通的搅拌釜式间歇生产三异丙醇胺，副产物较多。 					
项目 	循环雾化法 	联产法（三乙醇胺） 	普通间歇法 （三异丙醇胺） 					
馏分离出各个产品。 								
蒸汽消耗多，能耗高；设备复杂，运行和维护费用较高。 	蒸汽消耗多，能耗高；设备运行和维护费用较低。 							
1、高温、高压反应，危险性较大。 2、过量的氨回收使用，原材料利用率接近100%。 	设备密封保障性差，反应物泄漏风险高，原材料利用率相对较低。 							
工艺复杂。 	技术含量较低。 							
