产品布局 	产品布局 	主要产品 	占 2017 年主营业务收入比例（%） 	占 2016 年主营业务收入比例（%） 	占 2015年主营业务收入比例（%） 			
材料类别 	采购金额 （不含税） 	占比 	采购金额（不含税） 	占比 	采购金额（不含税） 	占比 		
1、电子部件 	5,501.44 	61.44% 	5,653.80 	48.37% 	3,466.35 	51.92% 		
功能模块 	3,730.34 	41.66% 	4,176.86 	35.73% 	2,515.42 	37.68% 		
电子元器件 	1,397.78 	15.61% 	1,067.54 	9.13% 	822.27 	12.32% 		
计算机类设备 	373.32 	4.17% 	409.40 	3.50% 	128.66 	1.93% 		
2、配套整机 	133.63 	1.49% 	2,472.94 	21.16% 	2,102.11 	31.48% 		
3、机械部件 	984.37 	10.99% 	1,299.63 	11.12% 	484.67 	7.26% 		
外部结构件 	422.21 	4.71% 	776.85 	6.65% 	279.56 	4.19% 		
结构部件 	562.16 	6.28% 	522.77 	4.47% 	205.11 	3.07% 		
4、基础材料 	593.02 	6.62% 	649.19 	5.55% 	392.74 	5.88% 		
合计 	7,212.46 	80.54% 	10,075.56 	86.20% 	6,445.87 	96.54% 		
								
产品类别 	2017 年 	2016 年 	2015 年 					
1、电子部件 	245.04 	244.64 	98.11 					
功能模块 	1,762.42 	601.18 	267.16 					
电子元器件 	69.13 	66.67 	31.79 					
计算机类设备 	3,249.13 	2,696.99 	2,652.78 					
2、配套整机 	20,559.22 	18,819.93 	428.85 					
3、机械部件 	118.70 	138.38 	63.96 					
外部结构件 	539.56 	305.45 	104.67 					
结构部件 	74.85 	76.34 	41.80 					
4、基础材料 	0.79 	1.25 	0.45 					
								
项目 	项目 	2017 年 	2016 年 	2015 年 				
电力 	金额（万元） 	76.19 	59.26 	32.54 				
电力 	数量（万度） 	78.29 	54.30 	35.60 				
								
年度 	序号 	供应商名称 	采购类别 	采购金额 	采购金额 	占采购总额比例 		
2017 年 	1 	杭州杭宏电力承装有限公司 	智能巡检机器人土建施工 	1,114.08 	1,114.08 	12.44% 		
年度 	序号 	供应商名称 	采购类别 	采购金额 	采购金额 	占采购总额比例 		
2 	浙江斯达电气设备股份有限公司 	功能模块、电子元器件 	573.27 	573.27 	6.40% 			
3 	杭州百州科技有限公司 	功能模块、计算机类设备 	557.91 	557.91 	6.23% 			
4 	上海信索电子有限公司 	功能模块、电子元器件 	488.94 	488.94 	5.46% 			
5 	浙江大立科技股份有限公司 	功能模块、电子元器件 	453.27 	453.27 	5.06% 			
合计 	合计 	合计 	3,187.47 	3,187.47 	35.77% 			
1 	虎牌电务(杭州）有限公司 	智能 巡检 机器人土建施工 	1,371.94 	1,371.94 	11.74% 			
2 	浙江斯达电气设备股份有限公司 	配套整机 	1,302.91 	1,302.91 	11.15% 			
3 	北京双杰电气股份有限公司 	功能模块、配套整机 	821.11 	821.11 	7.02% 			
4 	杭州百州科技有限公司 	功能模块、计算机类设备 	672.53 	672.53 	5.75% 			
5 	成都星宇节能技术股份有限公司 	功能模块、配套整机 	653.26 	653.26 	5.59% 			
合计 	合计 	合计 	4,821.75 	4,821.75 	41.25% 			
1 	杭州艾参崴电力科技有限公司 	功能模块 	729.71 	729.71 	10.93% 			
2 	浙江大立科技股份有限公司 	配套整机 	695.04 	695.04 	10.41% 			
3 	上海欣影电力科技股份有限公司 	配套整机 	541.88 	541.88 	8.12% 			
4 	杭州睿庭电子有限公司 	功能模块 	457.55 	457.55 	6.85% 			
5 	北京双杰电气股份有限公司 	功能模块、配套整机 	424.01 	424.01 	6.35% 			
合计 	合计 	合计 	2,848.19 	2,848.19 	42.66% 			
								
2016 年 								
2015 年 								
								
1 	名称 	杭州杭宏电力承装有限公司 	杭州杭宏电力承装有限公司 	杭州杭宏电力承装有限公司 				
1 	注册资本 	12,400 万元 	成立时间 	2003 年 8 月 1 日 				
								
股东情况 	杜文高：65.00%；杜叶鑫：35.00% 	杜文高：65.00%；杜叶鑫：35.00% 	杜文高：65.00%；杜叶鑫：35.00% 					
业务情况 	承装类四级、承修类四级、承试类五级（可以从事 35 千伏以下电压等级电力设施的安装、维修，10 千伏以下电压等级电力设施的试验活动）；施工：电缆土建工程、电力通讯工程，路灯、工业设备安装工程，装饰工程，水利建筑工程，通信工程，土石方工程，中央空调安装工程，网络工程，绿化工程，非开挖工程；安装：配电屏；技术咨询、技术服务：电力技术；服务：脚手架搭设，钢管、电器租赁；设计、制作：国内广告（除新闻媒体及网络广告）；电销售及配套产品销售、检测、维修，水电安装（除电力设施）；机电设备安装；市政园林施工、工业与民用建筑工程施工、打桩；仪器仪表生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 	承装类四级、承修类四级、承试类五级（可以从事 35 千伏以下电压等级电力设施的安装、维修，10 千伏以下电压等级电力设施的试验活动）；施工：电缆土建工程、电力通讯工程，路灯、工业设备安装工程，装饰工程，水利建筑工程，通信工程，土石方工程，中央空调安装工程，网络工程，绿化工程，非开挖工程；安装：配电屏；技术咨询、技术服务：电力技术；服务：脚手架搭设，钢管、电器租赁；设计、制作：国内广告（除新闻媒体及网络广告）；电销售及配套产品销售、检测、维修，水电安装（除电力设施）；机电设备安装；市政园林施工、工业与民用建筑工程施工、打桩；仪器仪表生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 	承装类四级、承修类四级、承试类五级（可以从事 35 千伏以下电压等级电力设施的安装、维修，10 千伏以下电压等级电力设施的试验活动）；施工：电缆土建工程、电力通讯工程，路灯、工业设备安装工程，装饰工程，水利建筑工程，通信工程，土石方工程，中央空调安装工程，网络工程，绿化工程，非开挖工程；安装：配电屏；技术咨询、技术服务：电力技术；服务：脚手架搭设，钢管、电器租赁；设计、制作：国内广告（除新闻媒体及网络广告）；电销售及配套产品销售、检测、维修，水电安装（除电力设施）；机电设备安装；市政园林施工、工业与民用建筑工程施工、打桩；仪器仪表生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 					
名称 	浙江斯达电气设备股份有限公司 	浙江斯达电气设备股份有限公司 	浙江斯达电气设备股份有限公司 					
注册资本 	5,135 万元 	成立时间 	1999 年 1 月 20 日 					
股东情况 	沈树玉：51.12%；郭佩玲：30.83%；罗强：7.30%；张霞：3.09%；高承志2.60%；李伸：2.43%；徐众平：1.31%；沈肖冬：1.31% 	沈树玉：51.12%；郭佩玲：30.83%；罗强：7.30%；张霞：3.09%；高承志2.60%；李伸：2.43%；徐众平：1.31%；沈肖冬：1.31% 	沈树玉：51.12%；郭佩玲：30.83%；罗强：7.30%；张霞：3.09%；高承志2.60%；李伸：2.43%；徐众平：1.31%；沈肖冬：1.31% 					
业务情况 	电力电气设备、电子元器件、通讯设备（除发射装置）、化工原料（除危险品）、五金交电、机电设备（除汽车）、建筑材料的批发、零售、代购代销；国际贸易、转口贸易、出口加工、保税仓储；咨询服务 	电力电气设备、电子元器件、通讯设备（除发射装置）、化工原料（除危险品）、五金交电、机电设备（除汽车）、建筑材料的批发、零售、代购代销；国际贸易、转口贸易、出口加工、保税仓储；咨询服务 	电力电气设备、电子元器件、通讯设备（除发射装置）、化工原料（除危险品）、五金交电、机电设备（除汽车）、建筑材料的批发、零售、代购代销；国际贸易、转口贸易、出口加工、保税仓储；咨询服务 					
名称 	杭州百州科技有限公司 	杭州百州科技有限公司 	杭州百州科技有限公司 					
注册资本 	209 万元 	成立时间 	2012 年 3 月 2 日 					
股东情况 	郑建云：40.00%；胡小林：30.00%；蒋文伟：30.00% 	郑建云：40.00%；胡小林：30.00%；蒋文伟：30.00% 	郑建云：40.00%；胡小林：30.00%；蒋文伟：30.00% 					
业务情况 	服务：智能化建筑系统工程、计算机软件、电子商务技术的技术开发、技术咨询、技术服务、成果转让；批发、零售：电子计算机及配件，办公自动化设备及耗材，通信设备（除专控），网络设备，安防监控设备，机电产品（除小轿车），汽车零配件；其他无需报经审批的一切合法项目 	服务：智能化建筑系统工程、计算机软件、电子商务技术的技术开发、技术咨询、技术服务、成果转让；批发、零售：电子计算机及配件，办公自动化设备及耗材，通信设备（除专控），网络设备，安防监控设备，机电产品（除小轿车），汽车零配件；其他无需报经审批的一切合法项目 	服务：智能化建筑系统工程、计算机软件、电子商务技术的技术开发、技术咨询、技术服务、成果转让；批发、零售：电子计算机及配件，办公自动化设备及耗材，通信设备（除专控），网络设备，安防监控设备，机电产品（除小轿车），汽车零配件；其他无需报经审批的一切合法项目 					
名称 	上海信索电子有限公司 	上海信索电子有限公司 	上海信索电子有限公司 					
注册资本 	200 万元 	成立时间 	1995 年 3 月 7 日 					
股东情况 	郑晓刚：33.65%；郑树德：21%；田锋：24.42%；俞晏：20.93% 	郑晓刚：33.65%；郑树德：21%；田锋：24.42%；俞晏：20.93% 	郑晓刚：33.65%；郑树德：21%；田锋：24.42%；俞晏：20.93% 					
业务情况 	制造加工传感器、电子配件，销售仪表、机床、机电产品、电线电缆、化工原料及产品（除危险品）、家用电器、仪表维修，技术咨询 	制造加工传感器、电子配件，销售仪表、机床、机电产品、电线电缆、化工原料及产品（除危险品）、家用电器、仪表维修，技术咨询 	制造加工传感器、电子配件，销售仪表、机床、机电产品、电线电缆、化工原料及产品（除危险品）、家用电器、仪表维修，技术咨询 					
名称 	浙江大立科技股份有限公司 	浙江大立科技股份有限公司 	浙江大立科技股份有限公司 					
注册资本 	45,866.6666 万元 	成立时间 	2001 年 7 月 19 日 					
股东情况 	上市公司（股票代码：002214），庞惠民持股 29.10%，为其第一大股东及实际控制人 	上市公司（股票代码：002214），庞惠民持股 29.10%，为其第一大股东及实际控制人 	上市公司（股票代码：002214），庞惠民持股 29.10%，为其第一大股东及实际控制人 					
业务情况 	机电设备、计算机、软件及网络工程、电子产品、集成电路、测试技术的投资开发及技术转让、技术咨询、技术服务；机电设备（不含汽车）、电子产品、集成电路、化工产品（不含危险品）、计算机及软件的生产、销售（凭环保审批意见生产）；计算机网络工程安装；机器人的设计、开发、生产、销售、租赁及技术服务；经营进出口业务（范围详见《中华人民共和国进出口企业资格证书》） 	机电设备、计算机、软件及网络工程、电子产品、集成电路、测试技术的投资开发及技术转让、技术咨询、技术服务；机电设备（不含汽车）、电子产品、集成电路、化工产品（不含危险品）、计算机及软件的生产、销售（凭环保审批意见生产）；计算机网络工程安装；机器人的设计、开发、生产、销售、租赁及技术服务；经营进出口业务（范围详见《中华人民共和国进出口企业资格证书》） 	机电设备、计算机、软件及网络工程、电子产品、集成电路、测试技术的投资开发及技术转让、技术咨询、技术服务；机电设备（不含汽车）、电子产品、集成电路、化工产品（不含危险品）、计算机及软件的生产、销售（凭环保审批意见生产）；计算机网络工程安装；机器人的设计、开发、生产、销售、租赁及技术服务；经营进出口业务（范围详见《中华人民共和国进出口企业资格证书》） 					
名称 	虎牌电务(杭州）有限公司 	虎牌电务(杭州）有限公司 	虎牌电务(杭州）有限公司 					
注册资本 	2,000 万元 	成立时间 	2008 年 8 月 6 日 					
股东情况 	虎牌控股集团有限公司：87.5%；杭州虎牌电气股份有限公司：5%；浙江虎牌电缆集团有限公司：5%；虎牌伊顿开关（杭州）有限公司 2.5% 	虎牌控股集团有限公司：87.5%；杭州虎牌电气股份有限公司：5%；浙江虎牌电缆集团有限公司：5%；虎牌伊顿开关（杭州）有限公司 2.5% 	虎牌控股集团有限公司：87.5%；杭州虎牌电气股份有限公司：5%；浙江虎牌电缆集团有限公司：5%；虎牌伊顿开关（杭州）有限公司 2.5% 					
业务情况 	承装（修、试）电力设施（四级），机电设备安装工程专业承包（叁级）（上述经营范围在批准的有效期内方可经营）；光电产品、环保设备、电气设备的技术开发、技术咨询、成果转让；节能技术开发；输配电设备技术开发；文化艺术交流活动策划；成年人的非文化教育培训、成年人的非证书劳动技能培训（涉及前置审批的项目除外）；五金、机电设备的批发、零售 	承装（修、试）电力设施（四级），机电设备安装工程专业承包（叁级）（上述经营范围在批准的有效期内方可经营）；光电产品、环保设备、电气设备的技术开发、技术咨询、成果转让；节能技术开发；输配电设备技术开发；文化艺术交流活动策划；成年人的非文化教育培训、成年人的非证书劳动技能培训（涉及前置审批的项目除外）；五金、机电设备的批发、零售 	承装（修、试）电力设施（四级），机电设备安装工程专业承包（叁级）（上述经营范围在批准的有效期内方可经营）；光电产品、环保设备、电气设备的技术开发、技术咨询、成果转让；节能技术开发；输配电设备技术开发；文化艺术交流活动策划；成年人的非文化教育培训、成年人的非证书劳动技能培训（涉及前置审批的项目除外）；五金、机电设备的批发、零售 					
名称 	北京双杰电气股份有限公司 	北京双杰电气股份有限公司 	北京双杰电气股份有限公司 					
注册资本 	28,337.12 万元 	成立时间 	2002 年 12 月 13 日 					
股东情况 	上市公司（股票代码：300444），赵志宏持股 17.31%，为其第一大股东及实际控制人 	上市公司（股票代码：300444），赵志宏持股 17.31%，为其第一大股东及实际控制人 	上市公司（股票代码：300444），赵志宏持股 17.31%，为其第一大股东及实际控制人 					
业务情况 	制造输配电及控制设备；普通货运；研发、销售分布式发电及控制设备、新能源汽车充放电及智能控制设备、电能质量治理及监控设备、电能计量系统设备；生产分布式发电及控制设备、新能源汽车充放电及智能控制设备、电能质量治理及监控设备、电能计量系统设备（限分支机构经营）；电力供应；合同能源管理；技术服务；技术开发；计算机系统集成；工程勘察设计；自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。） 	制造输配电及控制设备；普通货运；研发、销售分布式发电及控制设备、新能源汽车充放电及智能控制设备、电能质量治理及监控设备、电能计量系统设备；生产分布式发电及控制设备、新能源汽车充放电及智能控制设备、电能质量治理及监控设备、电能计量系统设备（限分支机构经营）；电力供应；合同能源管理；技术服务；技术开发；计算机系统集成；工程勘察设计；自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。） 	制造输配电及控制设备；普通货运；研发、销售分布式发电及控制设备、新能源汽车充放电及智能控制设备、电能质量治理及监控设备、电能计量系统设备；生产分布式发电及控制设备、新能源汽车充放电及智能控制设备、电能质量治理及监控设备、电能计量系统设备（限分支机构经营）；电力供应；合同能源管理；技术服务；技术开发；计算机系统集成；工程勘察设计；自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。） 					
名称 	成都星宇节能技术股份有限公司 	成都星宇节能技术股份有限公司 	成都星宇节能技术股份有限公司 					
注册资本 	5,000 万元 	成立时间 	1998 年 8 月 10 日 					
股东情况 	陈财建：29.09%；成都财盛投资有限公司：9.36%；新理益集团有限公司：8.64%；种蓓：4.87%；成都高投创业投资有限公司：4.00%；金东伟：4.00%；张宝英：4.00%；其他股东 36.04% 	陈财建：29.09%；成都财盛投资有限公司：9.36%；新理益集团有限公司：8.64%；种蓓：4.87%；成都高投创业投资有限公司：4.00%；金东伟：4.00%；张宝英：4.00%；其他股东 36.04% 	陈财建：29.09%；成都财盛投资有限公司：9.36%；新理益集团有限公司：8.64%；种蓓：4.87%；成都高投创业投资有限公司：4.00%；金东伟：4.00%；张宝英：4.00%；其他股东 36.04% 					
业务情况 	计算机软硬件、电子产品、通讯设备（不含无线电广播电视发射设备及卫星地面接收设备）、电力设备、电气设备及电子元器件的研发、生产、销售及技术服务；输配电及控制设备的研发、生产、销售；节能技术服务；合同能源管理；送变电工程设计、施工；机械设备、五金产品及电子产品的销售；社会公共安全设备及器材的销售；安防产品的研发、生产、销售；安防工程设计、施工（涉及工业行业的另设分支机构经营或另择经营场地经营）（依法须经批准的项目，经相关部门批准后方可开展经营活动） 	计算机软硬件、电子产品、通讯设备（不含无线电广播电视发射设备及卫星地面接收设备）、电力设备、电气设备及电子元器件的研发、生产、销售及技术服务；输配电及控制设备的研发、生产、销售；节能技术服务；合同能源管理；送变电工程设计、施工；机械设备、五金产品及电子产品的销售；社会公共安全设备及器材的销售；安防产品的研发、生产、销售；安防工程设计、施工（涉及工业行业的另设分支机构经营或另择经营场地经营）（依法须经批准的项目，经相关部门批准后方可开展经营活动） 	计算机软硬件、电子产品、通讯设备（不含无线电广播电视发射设备及卫星地面接收设备）、电力设备、电气设备及电子元器件的研发、生产、销售及技术服务；输配电及控制设备的研发、生产、销售；节能技术服务；合同能源管理；送变电工程设计、施工；机械设备、五金产品及电子产品的销售；社会公共安全设备及器材的销售；安防产品的研发、生产、销售；安防工程设计、施工（涉及工业行业的另设分支机构经营或另择经营场地经营）（依法须经批准的项目，经相关部门批准后方可开展经营活动） 					
								
2 								
3 								
4 								
5 								
								
6 								
7 								
8 								
								
9 	名称 	杭州艾参崴电力科技有限公司 	杭州艾参崴电力科技有限公司 	杭州艾参崴电力科技有限公司 				
9 	注册资本 	2,020 万元 	成立时间 	2014 年 4 月 25 日 				
9 	股东情况 	杭州格创实业有限公司：42.00%；杭州晖罗投资管理合伙企业（有限合伙）：20.00%；北京茂恒新能源科技有限公司：20.00%；李拴宝：8.00%；张金良：4.00%；谢凌柯：4.00%；刘志广：2.00% 	杭州格创实业有限公司：42.00%；杭州晖罗投资管理合伙企业（有限合伙）：20.00%；北京茂恒新能源科技有限公司：20.00%；李拴宝：8.00%；张金良：4.00%；谢凌柯：4.00%；刘志广：2.00% 	杭州格创实业有限公司：42.00%；杭州晖罗投资管理合伙企业（有限合伙）：20.00%；北京茂恒新能源科技有限公司：20.00%；李拴宝：8.00%；张金良：4.00%；谢凌柯：4.00%；刘志广：2.00% 				
9 	业务情况 	服务：承装（修、试）电力设施（依法须经批准的项目，经相关部门批准后方可开展经营活动）、电力试验设备、节能节电技术、安防及消防设备、通讯设备的技术开发，新型电器、电动汽车充电设备的技术开发、技术咨询，电力技术、防雷设备、接地网技术、配电自动化设备的技术咨询、技术服务、成果转让，电气工程（除电力设施），市政工程，消防工程，安防工程，机电设备安装工程，楼宇智能化系统工程，排水管道施工工程，汽车租赁；批发、零售：防雷设备、接地网材料、配电自动化设备、新型电器、电动汽车充电设备、五金、机电设备、绝缘体、塑料制品、数码设备、视频会议系统设备、金属柜；新能源车充电站运营及充电设备管理与维护；智能机器人、多功能飞行器（民用航空器除外）、无人机系统的研发、设计、生产、销售、租赁及相关技术服务；货物进出口（法律、行政法规禁止的除外，法律行政法规限制的项目取得许可后方可从事经营活动） 	服务：承装（修、试）电力设施（依法须经批准的项目，经相关部门批准后方可开展经营活动）、电力试验设备、节能节电技术、安防及消防设备、通讯设备的技术开发，新型电器、电动汽车充电设备的技术开发、技术咨询，电力技术、防雷设备、接地网技术、配电自动化设备的技术咨询、技术服务、成果转让，电气工程（除电力设施），市政工程，消防工程，安防工程，机电设备安装工程，楼宇智能化系统工程，排水管道施工工程，汽车租赁；批发、零售：防雷设备、接地网材料、配电自动化设备、新型电器、电动汽车充电设备、五金、机电设备、绝缘体、塑料制品、数码设备、视频会议系统设备、金属柜；新能源车充电站运营及充电设备管理与维护；智能机器人、多功能飞行器（民用航空器除外）、无人机系统的研发、设计、生产、销售、租赁及相关技术服务；货物进出口（法律、行政法规禁止的除外，法律行政法规限制的项目取得许可后方可从事经营活动） 	服务：承装（修、试）电力设施（依法须经批准的项目，经相关部门批准后方可开展经营活动）、电力试验设备、节能节电技术、安防及消防设备、通讯设备的技术开发，新型电器、电动汽车充电设备的技术开发、技术咨询，电力技术、防雷设备、接地网技术、配电自动化设备的技术咨询、技术服务、成果转让，电气工程（除电力设施），市政工程，消防工程，安防工程，机电设备安装工程，楼宇智能化系统工程，排水管道施工工程，汽车租赁；批发、零售：防雷设备、接地网材料、配电自动化设备、新型电器、电动汽车充电设备、五金、机电设备、绝缘体、塑料制品、数码设备、视频会议系统设备、金属柜；新能源车充电站运营及充电设备管理与维护；智能机器人、多功能飞行器（民用航空器除外）、无人机系统的研发、设计、生产、销售、租赁及相关技术服务；货物进出口（法律、行政法规禁止的除外，法律行政法规限制的项目取得许可后方可从事经营活动） 				
10 	名称 	上海欣影电力科技股份有限公司 	上海欣影电力科技股份有限公司 	上海欣影电力科技股份有限公司 				
10 	注册资本 	7,592.20 万元 	成立时间 	2008 年 1 月 7 日 				
10 	股东情况 	孙建中：24.69%；果民先：17.67%；付江：8.35%；上海欣映科技发展有限公司：7.18%；上海物联网创业投资基金合伙企业（有限合伙）：7.90%；浙江嘉庆投资有限公司：7.86%；张贵军：3.50%；顾家根：3.13%；邵建利：2.88%；李向民：2.63% 	孙建中：24.69%；果民先：17.67%；付江：8.35%；上海欣映科技发展有限公司：7.18%；上海物联网创业投资基金合伙企业（有限合伙）：7.90%；浙江嘉庆投资有限公司：7.86%；张贵军：3.50%；顾家根：3.13%；邵建利：2.88%；李向民：2.63% 	孙建中：24.69%；果民先：17.67%；付江：8.35%；上海欣映科技发展有限公司：7.18%；上海物联网创业投资基金合伙企业（有限合伙）：7.90%；浙江嘉庆投资有限公司：7.86%；张贵军：3.50%；顾家根：3.13%；邵建利：2.88%；李向民：2.63% 				
10 	业务情况 	在电力、计算机软硬件、网络工程、通讯设备、自动化控制设备、电子设备、机电设备、电线电缆科技领域内从事技术开发、技术咨询、技术服务、技术转让，计算机软硬件、电子产品、通讯设备、自动化控制设备、电力设备、机电设备、电线电缆、化工产品（除危险化学品、监控化学品、烟花爆竹、民用爆炸物品、易制毒化学品）销售，节能环保产品研发、销售、技术咨询、服务、系统集成及工程（含合同能源管理），以下限分支机构经营：低压电器、计算机硬件、电子产品、仪器仪表、通讯设备、自动化控制设备的加工、制造、生产（依法须经批准的项目，经相关部门批准后方可开展经营活动） 	在电力、计算机软硬件、网络工程、通讯设备、自动化控制设备、电子设备、机电设备、电线电缆科技领域内从事技术开发、技术咨询、技术服务、技术转让，计算机软硬件、电子产品、通讯设备、自动化控制设备、电力设备、机电设备、电线电缆、化工产品（除危险化学品、监控化学品、烟花爆竹、民用爆炸物品、易制毒化学品）销售，节能环保产品研发、销售、技术咨询、服务、系统集成及工程（含合同能源管理），以下限分支机构经营：低压电器、计算机硬件、电子产品、仪器仪表、通讯设备、自动化控制设备的加工、制造、生产（依法须经批准的项目，经相关部门批准后方可开展经营活动） 	在电力、计算机软硬件、网络工程、通讯设备、自动化控制设备、电子设备、机电设备、电线电缆科技领域内从事技术开发、技术咨询、技术服务、技术转让，计算机软硬件、电子产品、通讯设备、自动化控制设备、电力设备、机电设备、电线电缆、化工产品（除危险化学品、监控化学品、烟花爆竹、民用爆炸物品、易制毒化学品）销售，节能环保产品研发、销售、技术咨询、服务、系统集成及工程（含合同能源管理），以下限分支机构经营：低压电器、计算机硬件、电子产品、仪器仪表、通讯设备、自动化控制设备的加工、制造、生产（依法须经批准的项目，经相关部门批准后方可开展经营活动） 				
11 	名称 	杭州睿庭电子有限公司 	杭州睿庭电子有限公司 	杭州睿庭电子有限公司 				
11 	注册资本 	100 万元 	成立时间 	2011 年 7 月 21 日 				
11 	股东情况 	武晓莉：60.00%；王爱国：40.00% 	武晓莉：60.00%；王爱国：40.00% 	武晓莉：60.00%；王爱国：40.00% 				
11 	业务情况 	服务：电子元器件、仪器仪表、电气设备、智能控制设备的技术开发、技术服务、技术咨询、成果转让；批发、零售：电子元器件，仪器仪表，电气设备 	服务：电子元器件、仪器仪表、电气设备、智能控制设备的技术开发、技术服务、技术咨询、成果转让；批发、零售：电子元器件，仪器仪表，电气设备 	服务：电子元器件、仪器仪表、电气设备、智能控制设备的技术开发、技术服务、技术咨询、成果转让；批发、零售：电子元器件，仪器仪表，电气设备 				
								
外协企业 	外协主要内容 	2017 年 外协金额 	2016 年 外协金额 	2015 年 外协金额 				
杭州隆炎科技有限公司 	导轨基材加工 	41.76 	-  	-  				
杭州丰盈精密机械有限公司 	导轨基材加工 	1.50 	- 	- 				
杭州华发机电有限公司 	输电线路视频图像在线监测装置组装 	4.96 	12.15 	- 				
杭州远特电子有限公司 	PCB 板贴片、焊接 	23.14 	7.45 	13.26 				
杭州盈光精密机械有限公司 	防水盒打孔、气缸和螺丝加工等机械加工 	3.27 	6.45 	1.45 				
杭州余杭远程电控设备厂 	插头等镀银加工 	- 	0.60 	- 				
杭州坤诺电子有限公司 	串口监测模块焊接 	- 	0.22 	- 				
外协加工金额合计 	外协加工金额合计 	74.62 	26.87 	14.71 				
合计占采购总额的比重 	合计占采购总额的比重 	0.83% 	0.23% 	0.22% 				
								
1 	名称 	杭州隆炎科技有限公司 	杭州隆炎科技有限公司 	杭州隆炎科技有限公司 				
1 	注册资本 	100 万元 	成立时间 	2017 年 7 月 11 日 				
1 	股东情况 	周昔荣：70.00%；余来飞：30.00% 	周昔荣：70.00%；余来飞：30.00% 	周昔荣：70.00%；余来飞：30.00% 				
1 	业务情况 	生产：模具、精密机械、机械设备零部件。服务：计算机软硬件、电子产品的技术开发、技术服务、技术咨询、成果转让；批发、零售：机械设备及配件，汽车配件，模具配件，五金交电，非金属制品，建筑材料，计算机软硬件，自动化设备。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 	生产：模具、精密机械、机械设备零部件。服务：计算机软硬件、电子产品的技术开发、技术服务、技术咨询、成果转让；批发、零售：机械设备及配件，汽车配件，模具配件，五金交电，非金属制品，建筑材料，计算机软硬件，自动化设备。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 	生产：模具、精密机械、机械设备零部件。服务：计算机软硬件、电子产品的技术开发、技术服务、技术咨询、成果转让；批发、零售：机械设备及配件，汽车配件，模具配件，五金交电，非金属制品，建筑材料，计算机软硬件，自动化设备。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 				
2 	名称 	杭州丰盈精密机械有限公司 	杭州丰盈精密机械有限公司 	杭州丰盈精密机械有限公司 				
2 	注册资本 	100 万元 	成立时间 	2013 年 8 月 22 日 				
2 	股东情况 	周杨均：90.00%；郑小燕：10% 	周杨均：90.00%；郑小燕：10% 	周杨均：90.00%；郑小燕：10% 				
2 	业务情况 	生产、加工：模具、精密机械。 批发、零售：机械设备及配件，汽车配件，模具配件，五金制品，非金属制品、建筑材料，计算机软件，自动化设备 	生产、加工：模具、精密机械。 批发、零售：机械设备及配件，汽车配件，模具配件，五金制品，非金属制品、建筑材料，计算机软件，自动化设备 	生产、加工：模具、精密机械。 批发、零售：机械设备及配件，汽车配件，模具配件，五金制品，非金属制品、建筑材料，计算机软件，自动化设备 				
3 	名称 	杭州华发机电有限公司 	杭州华发机电有限公司 	杭州华发机电有限公司 				
3 	注册资本 	50 万元 	成立时间 	1999 年 4 月 12 日 				
3 	股东情况 	蒋云法：64.00%；蒋晓萍：36.00% 	蒋云法：64.00%；蒋晓萍：36.00% 	蒋云法：64.00%；蒋晓萍：36.00% 				
3 	业务情况 	制造、加工：导线（在有效期内方可经营）。批发、零售：五金交电，机电设备（除小轿车），百货，仪器仪表，纺织品，音响配件 	制造、加工：导线（在有效期内方可经营）。批发、零售：五金交电，机电设备（除小轿车），百货，仪器仪表，纺织品，音响配件 	制造、加工：导线（在有效期内方可经营）。批发、零售：五金交电，机电设备（除小轿车），百货，仪器仪表，纺织品，音响配件 				
4 	名称 	杭州坤诺电子有限公司 	杭州坤诺电子有限公司 	杭州坤诺电子有限公司 				
4 	注册资本 	200 万元 	成立时间 	2010 年 9 月 2 日 				
4 	股东情况 	俞小华：90.00%；施芳琴：10.00% 	俞小华：90.00%；施芳琴：10.00% 	俞小华：90.00%；施芳琴：10.00% 				
