产品布局 	产品布局 	主要产品 	占 2017 年主营业务收入比例（%） 	占 2016 年主营业务收入比例（%） 	占 2015年主营业务收入比例（%） 			
2016.08 	《“十三五”国家科技创新规划》 	国务院 	聚焦部署大规模可再生能源并网调控、大电网柔性互联、多元用户供需互动用电、智能电网基础支撑技术等重点任务，实现智能电网技术装备与系统全面国产化，提升电力装备全球市场占有率 					
2016.04 	《机器人产业发展规划（2016-2020）》 	工信部、发改委、财政部 	争取到2020年实现：产业规模持续增长，服务机器人实现年销售收入超过300亿元；技术水平显著提升，新一代机器人技术取得突破，智能机器人实现创新应用 					
2016.03 	《中华人民共和国国民经济和社会发展第十三个五年规划纲要》 	全国人民代表大会 	加快智能电网建设，提高电网与发电侧、需求侧交互响应能力；大力推进机器人、智能系统、分布式能源系统、高效节能环保等新兴前沿领域创新和产业化，形成一批新增长点 					
2015.08 	《关于加快配电网建设改造的指导意见》 	发改委 	以智能化为方向，按照“成熟可靠、技术先进、节能环保”的原则，全面提升配电网装备水平。采用先进物联网、现代传感和信息通信等技术，实现设备、通道运行状态及外部环境的在线监测，提高预警能力和信息化水平 					
2015.07 	《关于促进智能电网发展的指导意见》 	发改委、能源局 	提高电网智能化水平，推广应用输变电设备状态诊断、智能巡检技术；建立电网对冰灾、山火、雷电、台风等自然灾害的自动识别、应急、防御和恢复系统 					
2015.07 	《配电网建设改造行动计划（2015-2020年）》 	能源局 	加强配电自动化建设，持续提升配电自动化覆盖率，提高配电网运行监测、控制能力，实现配电网可观可控，变“被动报修”为“主动监控”，缩短故障恢复时间，提升服务水平 					
2015.03 	《关于进一步深化电力体制改革的若干意见》 	国务院 	鼓励社会资本投资配电业务，按照有利于促进配电网建设发展和提高配电运营效率的要求，探索社会资本投资配电业务的有效途径 					
								
时间 	单位 	事件 	内容 					
2010.5 	国家电网公司 	首次向社会公布我国智能电网发展计划 	将分三阶段逐步推进坚强智能电网建设，到2020年全面建成坚强智能电网 					
2013.9 	南方电网公司 	发布《南方电网发展规划(2013—2020年)》 	到2020年，城市配电网自动化覆盖率达到80%，应用微电网技术解决海岛可靠供电问题，基本实现电网信息标准化、一体化、实时化和互动化 					
