公司	类型	时间	名称	内容	金额	占比	金额单位
广东拓斯达科技股份有限公司	供应商	2015年	深圳市怡富数控设备有限公司	伺服马达、伺服驱动器、以太网ASIC、其他	1,022.53	6.23%	万元
广东拓斯达科技股份有限公司	供应商	2015年	广州元新机械设备有限公司	泵浦、五金加工件、配件	699.48	4.26%	万元
广东拓斯达科技股份有限公司	供应商	2015年	上海ABB工程有限公司	机器人	630.34	3.84%	万元
广东拓斯达科技股份有限公司	供应商	2015年	东莞市正一轴承机械有限公司	导轨、滑块、其他	612.92	3.73%	万元
广东拓斯达科技股份有限公司	供应商	2015年	东莞市新泉精密五金有限公司	五金加工件	515.99	3.14%	万元
广东拓斯达科技股份有限公司	供应商	2015年	东莞市隆盛智能装备股份有限公司	压铸机自动化系统、线性机器人	480.76	2.93%	万元
广东拓斯达科技股份有限公司	供应商	2015年	广东坚宝电缆有限公司	线缆	473.13	2.88%	万元
广东拓斯达科技股份有限公司	供应商	2015年	安川电机（中国）有限公司	机器人	402.14	2.45%	万元
广东拓斯达科技股份有限公司	供应商	2015年	上海芳贺电机有限公司	伺服马达、伺服驱动器、其他	395.61	2.41%	万元
广东拓斯达科技股份有限公司	供应商	2015年	东莞市泰丰空调制冷设备有限公司	冷水机、冷水机配件	311.60	1.90%	万元

奥士康科技股份有限公司	客户	2017年1-6月	共进股份	2、4、6、8、14	3,968.12	5.19%	万元
奥士康科技股份有限公司	客户	2017年1-6月	创维	2、4、6	3,459.50	4.53%	万元
奥士康科技股份有限公司	客户	2017年1-6月	生益科技	1、2、4、6、8、10、12	2,853.57	3.73%	万元
奥士康科技股份有限公司	客户	2017年1-6月	德赛西威	2、4、6、8	2,779.22	3.64%	万元
奥士康科技股份有限公司	客户	2017年1-6月	深南电路	2、4、6、8、10、12	2,471.44	3.23%	万元
奥士康科技股份有限公司	客户	2017年1-6月	富士康	2、4、6、8	2,341.87	3.06%	万元
奥士康科技股份有限公司	客户	2017年1-6月	华工正源	2、4	2,116.09	2.77%	万元
奥士康科技股份有限公司	客户	2017年1-6月	广州视源电子科技股份有限公司	2、4、6、8	1,759.18	2.30%	万元
奥士康科技股份有限公司	客户	2017年1-6月	中怡数宽科技（苏州）有限公司	2、4、6	1,453.30	1.90%	万元
奥士康科技股份有限公司	客户	2017年1-6月	斯格特	2、4、6、8	1,354.34	1.77%	万元
奥士康科技股份有限公司	客户	2016年	共进股份	2、4、6、8	6,838.62	5.21%	万元
奥士康科技股份有限公司	客户	2016年	创维	2、4、6	6,040.93	4.60%	万元
奥士康科技股份有限公司	客户	2016年	普联技术	2、4、6、8	6,002.63	4.57%	万元
奥士康科技股份有限公司	客户	2016年	德赛西威	2、4、6、8	5,768.39	4.40%	万元
奥士康科技股份有限公司	客户	2016年	富士康	2、4、6、8	3,211.60	2.45%	万元
奥士康科技股份有限公司	客户	2016年	广州视源电子科技股份有限公司	2、4、6、8	3,033.04	2.31%	万元
奥士康科技股份有限公司	客户	2016年	深南电路	2、4、6、8、10、12、14	2,915.77	2.22%	万元
奥士康科技股份有限公司	客户	2016年	百一电子	2、4、6、8	2,549.27	1.94%	万元
奥士康科技股份有限公司	客户	2016年	生益科技	2、4、6、8、10、12、14	1,941.54	1.48%	万元
奥士康科技股份有限公司	客户	2016年	斯格特	1、2、4、6、8	1,574.58	1.20%	万元
